"Name","Address","City","State"
"FLYING J #602","1-65 & SR 94 Exit 264","Birmingham","AL"
"PILOT TRAVEL CENTER #302","1-10 Exit 13","Theodore","AL"
"PILOT TRAVEL CENTER #369","1-20/59/65/AL 78 Exit 123","Birmingham","AL"
"FLYING J #611","1-10 Exit 137","Phoenix","AZ"
"LOVE'S #659","1-10 Exit 135","Tolleson","AZ"
"PILOT TRAVEL CENTER #459","1-10 Exit 133","Avondale","AZ"
"PILOT TRAVEL CENTER #593","1-10 Exit 268","Tucson","AZ"
"TA COACHELLA #5050","1-10 at Dillon Rd Exit","Coachella","CA"
"PILOT TRAVEL CENTER #237","US 101 Exit 326B & S Sanborn Rd","Salinas","CA"
"TA ONTARIO #417","1-10 at Milliken Ave","Ontario","CA"
"FLYING J #1080","1-5 Exit 434","Patterson","CA"
"PETRO ONTARIO #5007","1-10 & Milliken Ave Exit 57","Ontario","CA"
"LOVE'S #207","1-10 Exit 146","Coachella","CA"
"TA LIVINGSTON #6170","SR 99 at Exit 203 Winton Pkwy.","Livingston","CA"
"PILOT TRAVEL CENTER #307","1-10 & Garnet Ave & N Indian Canyon Dr","North Palm Springs","CA"
"LOVE'S #908","1-270 Exit 2A","Commerce City","CO"
"PILOT TRAVEL CENTER #316","1-70 Exit 276A","Denver","CO"
"TA COMMERCE CITY #5070","1-70/1-270 Exit 278 (Quebec St)","Commerce City","CO"
"FLYING J #619","1-70 Exit 285 (South)","Aurora","CO"
"Pilot Dealer #897","SR 826 Exit SR 817","Miami Gardens","FL"
"PILOT TRAVEL CENTER #1046","210 US Highway 27 North","South Bay","FL"
"PETRO ATLANTA #6322","1-285 Exit 12 at Donald Lee Hol- lowell Hwy","Atlanta","GA"
"PILOT TRAVEL CENTER #331","1-285 Exit 51","Atlanta","GA"
"LOVE'S #909","1-285 Exit 53","Conley","GA"
"PILOT TRAVEL CENTER #260","Hwy 300 & Clark Ave","Albany","GA"
"PILOT TRAVEL CENTER #192","1-75 Exit 60","Tifton","GA"
"PILOT TRAVEL CENTER #313","1-55/70 Exit 4","East St. Louis","IL"
"FLYING J #642","1-255 Exit 17A","Alorton","IL"
"ROAD RANGER #378","1-55 Exit 288","Chicago","IL"
"MR. FUEL #1020","1-80 & 1-94 Exit 15B","Lake Station","IN"
"TA LAKE STATION #6219","1-80/1-94 Exit 158","Lake Station","IN"
"LOVE'S #417","1-94 Exit 9","Gary","IN"
"PETRO GARY #6369","1-90/1-84 Exit 9.","Gary","IN"
"PILOT TRAVEL CENTER #30","1-70 Exit 96","Greenfield","IN"
"FLYING J #650","1-94 Exit 15B","Lake Station","IN"
"LOVE'S #912","1-80 Exit 1B","Council Bluffs","IA"
"PILOT TRAVEL CENTER #329","1-80/29 Exit 1B","Council Bluffs","IA"
"TA LAFAYETTE #770","1-10 & State Rd 182, MM 101","Lafayette","LA"
"LOVE'S #208","1-55 Exit 119","Canton","MS"
"PETRO JACKSON #6328","970 1-20 W Frontage Rd","Jackson","MS"
"PILOT TRAVEL CENTER #77","1-55/20 Exit 45","Jackson","MS"
"LOVE'S #402","1-10 Exit 44","Biloxi","MS"
"LOVE'S #461","1-70 Exit 246A","St. Louis","MO"
"PILOT TRAVEL CENTER #341","1-15 Exit 48","North Las Vegas","NV"
"LOVE'S #936","1-15 Exit 46","Las Vegas","NV"
"TA SPARKS #428","1-80 Exit 19.","Sparks","NV"
"FLYING J #770","1-80 Exit 176","Winnemucca","NV"
"FLYING J #689","1-40 Exit 153","Albuquerque","NM"
"LOVE'S #210","1-40 Exit 158","Albuquerque","NM"
