original_Name,original_Address,original_City,original_State,lat,lon,formatted,suburb,housenumber,name,street,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
FLYING J #602,1-65 & SR 94 Exit 264,Birmingham,AL,33.5206824,-86.8024326,"Birmingham, AL, United States of America",,,,,,,Birmingham,Jefferson County,Alabama,AL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #302,1-10 Exit 13,Theodore,AL,30.5463684,-88.2023936859469,"Theodore (Theodore), AL 36582, United States of America",,,Theodore,,36582,,Theodore,Mobile County,Alabama,AL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #369,1-20/59/65/AL 78 Exit 123,Birmingham,AL,33.5206824,-86.8024326,"Birmingham, AL, United States of America",,,,,,,Birmingham,Jefferson County,Alabama,AL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #611,1-10 Exit 137,Phoenix,AZ,33.4609104,-112.205449,"Flying J, West Latham Street, Phoenix, AZ 85043, United States of America",,,Flying J,West Latham Street,85043,Westridge Park,Phoenix,Maricopa County,Arizona,AZ,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #659,1-10 Exit 135,Tolleson,AZ,33.4500497,-112.259309,"Tolleson, AZ, United States of America",,,,,,,Tolleson,Maricopa County,Arizona,AZ,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #459,1-10 Exit 133,Avondale,AZ,33.4355977,-112.349602,"Avondale, AZ, United States of America",,,,,,,Avondale,Maricopa County,Arizona,AZ,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #593,1-10 Exit 268,Tucson,AZ,32.2228765,-110.974847,"Tucson, AZ, United States of America",,,,,,,Tucson,Pima County,Arizona,AZ,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA COACHELLA #5050,1-10 at Dillon Rd Exit,Coachella,CA,33.6794956,-116.17628,"Coachella, CA 92236, United States of America",,,,,92236,,Coachella,Riverside County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #237,US 101 Exit 326B & S Sanborn Rd,Salinas,CA,36.689631,-121.635188,"Salinas, CA, United States of America",,,,,,,Salinas,Monterey County,California,CA,United States,us,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
TA ONTARIO #417,1-10 at Milliken Ave,Ontario,CA,34.065846,-117.64843,"Ontario, CA, United States of America",,,,,,,Ontario,San Bernardino County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #1080,1-5 Exit 434,Patterson,CA,37.471623,-121.1296949,"Patterson, CA 95363, United States of America",,,,,95363,,Patterson,Stanislaus County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PETRO ONTARIO #5007,1-10 & Milliken Ave Exit 57,Ontario,CA,34.065846,-117.64843,"Ontario, CA, United States of America",,,,,,,Ontario,San Bernardino County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #207,1-10 Exit 146,Coachella,CA,33.6794956,-116.17628,"Coachella, CA 92236, United States of America",,,,,92236,,Coachella,Riverside County,California,CA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA LIVINGSTON #6170,SR 99 at Exit 203 Winton Pkwy.,Livingston,CA,37.387501,-120.738302,"435 Winton PKWY, Livingston, CA 95334, United States of America",,435,,Winton PKWY,95334,,Livingston,Merced County,California,CA,United States,us,0.2571428571428571,1,0.2857142857142857,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
