domain,year
0.COM,1995
1-800-DATABASE.COM,1995
1-800-HOMES.COM,1995
1-800-TAXLAWS.COM,1995
1-800BOOKSTORE.COM,1995
1-WORLD.COM,1995
1.COM,1995
1000-OAKS.COM,1995
1000KLUB.COM,1995
1001.COM,1995
1015KROCK.COM,1995
101CELL.COM,1995
103GNI.COM,1995
1040HELP.COM,1995
1099PRO.COM,1995
10A.COM,1995
10E-DESIGN.COM,1995
10RAMP.COM,1995
10TV.COM,1995
111SW.COM,1995
111WEBPLACE.COM,1995
11X.COM,1995
121MUSIC.COM,1995
1234NET.COM,1995
123MD.COM,1995
1333HENDERSON.COM,1995
13ENGINES.COM,1995
13THFLOOR.COM,1995
144VOLTS.COM,1995
170SYSTEMS.COM,1995
1776.COM,1995
1776SOFT.COM,1995
17STATE.COM,1995
1800800LENS.COM,1995
1800800SEND.COM,1995
1800ANDERSON.COM,1995
1800AUTOPSY.COM,1995
1800IDEASINC.COM,1995
18MAINST.COM,1995
19THHOLE.COM,1995
19THOLE.COM,1995
19WHNT.COM,1995
1CHOICE.COM,1995
1CLASS.COM,1995
1COM.COM,1995
1CONCEPT.COM,1995
1CYBERCITY.COM,1995
1DC.COM,1995
1DIRECT.COM,1995
1EAGLE1.COM,1995
1EARTH.COM,1995
1ELITE.COM,1995
1FLOWERS.COM,1995
1MARKET.COM,1995
1MEDIA.COM,1995
1NET.COM,1995
1NETCONNECT.COM,1995
1ON1.COM,1995
1PCSOLUTIONS.COM,1995
1SISC.COM,1995
1SOFTWARE.COM,1995
1SOURCE.COM,1995
1SOURCESUPPORT.COM,1995
1ST-VM.COM,1995
1ST.COM,1995
1STARNET.COM,1995
1STBANK.COM,1995
1STCAPITALBK.COM,1995
1STI.COM,1995
1STLOOK.COM,1995
1STNATIONAL.COM,1995
1STOP.COM,1995
1STPRO.COM,1995
1STREP.COM,1995
1STRESOURCE.COM,1995
1STTECH.COM,1995
1SUPPORT.COM,1995
1SWING.COM,1995
1TAC.COM,1995
1TECH.COM,1995
1TO1.COM,1995
1TORONTO.COM,1995
1UNIQUE.COM,1995
1UP.COM,1995
1WORLD.COM,1995
2.COM,1995
2000STRONG.COM,1995
2001.COM,1995
2001NET.COM,1995
2010MEDIA.COM,1995
2014PC.COM,1995
2020.COM,1995
2020SYS.COM,1995
2020VISION.COM,1995
2021.COM,1995
20THCF.COM,1995
20THTELEVISION.COM,1995
2112.COM,1995
218MHZ.COM,1995
21C.COM,1995
21CA.COM,1995
21CENLOGIC.COM,1995
21CENTURY.COM,1995
21CENTURYRESEARCH.COM,1995
21CONNECT.COM,1995
21ST-CENTURY.COM,1995
21ST.COM,1995
21STCAPITAL.COM,1995
21STCC.COM,1995
21STCENTURY.COM,1995
21STCM.COM,1995
21SYSTEMS.COM,1995
222FILM.COM,1995
23KGROUP.COM,1995
23RDCENTURY.COM,1995
24-HOUR-WORLD.COM,1995
24HOUR.COM,1995
24HOURCOVERAGEINS.COM,1995
24STEX.COM,1995
256CO.COM,1995
25CENTURY.COM,1995
25THCENTURY.COM,1995
2600.COM,1995
289COBRA.COM,1995
2AF.COM,1995
2BEARS.COM,1995
2BENCHMARK.COM,1995
2D3D.COM,1995
2DC.COM,1995
2FILM.COM,1995
2GO.COM,1995
2GSUPER.COM,1995
2JS.COM,1995
2L.COM,1995
2LAUNCH.COM,1995
2M.COM,1995
2MA.COM,1995
2MARKET.COM,1995
2NDCLASSUK.COM,1995
2NDSITE.COM,1995
2NDSOURCE.COM,1995
2NDWIND.COM,1995
2NET.COM,1995
2PROFIT.COM,1995
2TICKETS.COM,1995
2WAY.COM,1995
2WAYMARKET.COM,1995
2WHEELS.COM,1995
2WIN.COM,1995
3-SOFT.COM,1995
3.COM,1995
30FPS.COM,1995
316CSI.COM,1995
31FLAVORS.COM,1995
32BIT.COM,1995
333FILM.COM,1995
35SYS.COM,1995
360INC.COM,1995
360SPIN.COM,1995
3ADATA.COM,1995
3AMIGOS.COM,1995
3C.COM,1995
3CBODY.COM,1995
3CI.COM,1995
3COM-NCD.COM,1995
3COM.COM,1995
3D-CAM.COM,1995
3D.COM,1995
3DARTIST.COM,1995
3DATRIX.COM,1995
3DFX.COM,1995
3DGEO.COM,1995
3DIM.COM,1995
3DIMAGEBANK.COM,1995
3DLABS.COM,1995
3DMEDIA.COM,1995
3DNET.COM,1995
3DO.COM,1995
3DOG.COM,1995
3DP.COM,1995
3DREALMS.COM,1995
3DS.COM,1995
3DSCANNERS.COM,1995
3DSCHOOL.COM,1995
3DSITE.COM,1995
3DSYS.COM,1995
3DT.COM,1995
3DVISION.COM,1995
3DWEB.COM,1995
3DWORLD.COM,1995
3DX.COM,1995
3I.COM,1995
3K.COM,1995
3LOGIC.COM,1995
3M.COM,1995
3MARKET.COM,1995
3MARKETEERS.COM,1995
3MD.COM,1995
3MHIS.COM,1995
3MUSICIANS.COM,1995
3NET.COM,1995
3NETSYS.COM,1995
3P.COM,1995
3PROMENADE.COM,1995
3PS.COM,1995
3RD-WAVE.COM,1995
3RD.COM,1995
3RD1000.COM,1995
3RDDOOR.COM,1995
3RDEYE.COM,1995
3RDMILL.COM,1995
3RDPLANET.COM,1995
3RDWAVE-STUDIOS.COM,1995
3RDWAVE.COM,1995
3RDWORD.COM,1995
3RING.COM,1995
3ROUTES.COM,1995
3S.COM,1995
3SOFT-C.COM,1995
3SOFT-UK.COM,1995
3SOFT.COM,1995
3STARS.COM,1995
3W-MARKETING.COM,1995
3W.COM,1995
3WAVE.COM,1995
3WC.COM,1995
3WD.COM,1995
3WE.COM,1995
3WINFO.COM,1995
3WMEDIA.COM,1995
3WNET.COM,1995
4-2-0.COM,1995
4-FLOWERS.COM,1995
4-FURNITURE.COM,1995
4-SALE.COM,1995
4-SITE.COM,1995
4.COM,1995
400GROUP.COM,1995
401-K.COM,1995
401K.COM,1995
403B.COM,1995
415FINDOUT.COM,1995
41MAD.COM,1995
427COBRA.COM,1995
